"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.32478,1,0.463,0,-5,-0.537
0.32495,1,0.464,0,-5,-0.536
0.32513,1,0.465,0,-5,-0.535
0.32531,1,0.466,0,-5,-0.534
0.32549,1,0.467,0,-5,-0.533
0.32566,1,0.468,0,-5,-0.532
0.32584,1,0.469,0,-5,-0.531
0.32602,1,0.47,0,-5,-0.53
0.32619,1,0.471,0,-5,-0.529
0.32637,1,0.472,0,-5,-0.528
0.32655,1,0.473,0,-5,-0.527
0.32673,1,0.474,0,-5,-0.526
0.3269,1,0.475,0,-5,-0.525
0.32708,1,0.476,0,-5,-0.524
0.32726,1,0.477,0,-5,-0.523
0.32743,1,0.478,0,-5,-0.522
0.32761,1,0.479,0,-5,-0.521
0.32779,1,0.48,0,-5,-0.52
0.32797,1,0.481,0,-5,-0.519
0.32814,1,0.482,0,-5,-0.518
0.32832,1,0.483,0,-5,-0.517
0.3285,1,0.484,0,-5,-0.516
0.32867,1,0.485,0,-5,-0.515
0.32885,1,0.486,0,-5,-0.514
0.32903,1,0.487,0,-5,-0.513
0.32921,1,0.488,0,-5,-0.512
0.32938,1,0.489,0,-5,-0.511
0.32956,1,0.49,0,-5,-0.51
0.32974,1,0.491,0,-5,-0.509
0.32991,1,0.492,0,-5,-0.508
0.33009,1,0.493,0,-5,-0.507
0.33027,1,0.494,0,-5,-0.506
0.33045,1,0.495,0,-5,-0.505
0.33062,1,0.496,0,-5,-0.504
0.3308,1,0.497,0,-5,-0.503
0.33098,1,0.498,0,-5,-0.502
0.33116,1,0.499,0,-5,-0.501
0.33133,1,0.5,0,-5,-0.5
0.33115,1,0.501,0,-5,-0.499
0.33098,1,0.502,0,-5,-0.498
0.3308,1,0.503,0,-5,-0.497
0.33062,1,0.504,0,-5,-0.496
0.33045,1,0.505,0,-5,-0.495
0.33027,1,0.506,0,-5,-0.494
0.33009,1,0.507,0,-5,-0.493
0.32991,1,0.508,0,-5,-0.492
0.32974,1,0.509,0,-5,-0.491
0.32956,1,0.51,0,-5,-0.49
0.32938,1,0.511,0,-5,-0.489
0.3292,1,0.512,0,-5,-0.488
0.32903,1,0.513,0,-5,-0.487
0.32885,1,0.514,0,-5,-0.486
0.32867,1,0.515,0,-5,-0.485
0.32849,1,0.516,0,-5,-0.484
0.32832,1,0.517,0,-5,-0.483
0.32814,1,0.518,0,-5,-0.482
0.32796,1,0.519,0,-5,-0.481
0.32778,1,0.52,0,-5,-0.48
0.32761,1,0.521,0,-5,-0.479
0.32743,1,0.522,0,-5,-0.478
0.32725,1,0.523,0,-5,-0.477
0.32708,1,0.524,0,-5,-0.476
0.3269,1,0.525,0,-5,-0.475
0.32672,1,0.526,0,-5,-0.474
0.32654,1,0.527,0,-5,-0.473
0.32637,1,0.528,0,-5,-0.472
0.32619,1,0.529,0,-5,-0.471
0.32601,1,0.53,0,-5,-0.47
0.32583,1,0.531,0,-5,-0.469
0.32566,1,0.532,0,-5,-0.468
0.32548,1,0.533,0,-5,-0.467
0.3253,1,0.534,0,-5,-0.466
0.32512,1,0.535,0,-5,-0.465
0.32495,1,0.536,0,-5,-0.464
0.32477,1,0.537,0,-5,-0.463
0.32459,1,0.538,0,-5,-0.462
0.32441,1,0.539,0,-5,-0.461
0.32424,1,0.54,0,-5,-0.46
0.32406,1,0.541,0,-5,-0.459
0.32388,1,0.542,0,-5,-0.458
0.32371,1,0.543,0,-5,-0.457
0.32353,1,0.544,0,-5,-0.456
0.32335,1,0.545,0,-5,-0.455
0.32317,1,0.546,0,-5,-0.454
0.323,1,0.547,0,-5,-0.453
0.32282,1,0.548,0,-5,-0.452
0.32264,1,0.549,0,-5,-0.451
